X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
396275,139402,23050786,2023/04/03 03:00:43+00,EVENING,OTHERS,THEFT/OTHER,1800 - 1810 BLOCK OF COLUMBIA ROAD NW,396275,139402,1,1C,3,303,Cluster 1,004001 1,004001,Precinct 25,38.9224832144,-77.0429560588,ADAMS MORGAN,2023/04/02 19:33:00+00,2023/04/02 20:10:00+00,699891407,
398316,137857,23050852,2023/04/02 22:42:35+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,500 - 599 BLOCK OF O STREET NW,398316,137857,2,2G,3,308,Cluster 7,004801 3,004801,Precinct 18,38.9085716215,-77.0194158099,,2023/04/02 20:13:00+00,2023/04/02 20:30:00+00,699891408,
399287,134191,23050901,2023/04/03 01:24:39+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF VAN STREET SE,399287,134191,8,8F,1,106,Cluster 27,007201 1,007201,Precinct 131,38.8755482574,-77.008216785,CAPITOL RIVERFRONT,2023/04/02 22:26:00+00,2023/04/02 23:30:00+00,699891409,
400233,137319,23051427,2023/04/03 20:38:29+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF L STREET NE,400233,137319,6,6C,5,501,Cluster 25,010602 2,010602,Precinct 83,38.9037267124,-76.9973137907,,2023/04/03 18:40:00+00,2023/04/03 20:36:00+00,699891410,
398809,134827,23052172,2023/04/04 23:33:22+00,EVENING,OTHERS,THEFT/OTHER,1 - 299 BLOCK OF G STREET SW,398809,134827,6,6D,1,103,Cluster 9,010500 3,010500,Precinct 128,38.8812770775,-77.013726475,SOUTHWEST,2023/04/04 21:55:00+00,2023/04/04 22:10:00+00,699891411,
397610,137008,23052883,2023/04/06 00:23:27+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,397610,137008,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,38.9009218959,-77.0275527374,DOWNTOWN,2023/04/05 23:32:00+00,2023/04/05 23:40:00+00,699891412,
397162.060000002,140182.43,23171704,2023/10/18 15:51:35+00,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2023/10/18 13:39:00+00,2023/10/18 14:30:00+00,699891413,
400827.32,143055.079999998,23173114,2023/10/21 03:29:48+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,5200 - 5299 BLOCK OF 12TH STREET NE,400827.32,143055.08,5,5A,4,406,Cluster 19,009508 1,009508,Precinct 66,38.9553987362,-76.9904550828,,2023/10/20 21:48:00+00,2023/10/20 22:30:00+00,699891414,
399387.812100001,128646.462400001,23173197,2023/10/21 02:44:15+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4400 - 4499 BLOCK OF SOUTH CAPITOL STREET,399387.812061385,128646.462388815,8,8D,7,708,Cluster 39,009810 2,009810,Precinct 126,38.8256007292,-77.0070500677,,2023/10/20 05:05:00+00,2023/10/21 00:42:00+00,699891415,
401257.016400002,135070.543499999,23173209,2023/10/21 01:30:41+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 14TH STREET SE,401257.01641512,135070.543546776,6,6B,1,107,Cluster 26,006900 2,006900,Precinct 91,38.88347092,-76.9855122293,,2023/10/20 23:01:00+00,2023/10/20 23:06:00+00,699891416,
401039.659999996,142867.98,23173459,2023/10/26 20:21:41+00,EVENING,OTHERS,THEFT/OTHER,5101 - 5199 BLOCK OF SARGENT ROAD NE,401039.66,142867.98,5,5A,4,406,Cluster 19,009508 2,009508,Precinct 66,38.9537130639,-76.9880055675,,2023/10/21 03:00:00+00,2023/10/21 14:00:00+00,699891417,
397904.399999999,140846.07,23173546,2023/10/21 17:52:39+00,DAY,OTHERS,THEFT/OTHER,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,397904.4,140846.07,1,1E,4,409,Cluster 2,003100 2,003100,Precinct 43,38.9354972411,-77.0241705089,,2023/10/21 16:13:00+00,,699891418,
400134.539999999,130213.309999999,23173789,2023/10/22 09:29:32+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3300 - 3699 BLOCK OF 6TH STREET SE,400134.54,130213.31,8,8C,7,705,Cluster 39,009804 1,009804,Precinct 122,38.8397158173,-76.9984503066,,2023/10/22 01:38:00+00,2023/10/22 03:05:00+00,699891419,
397966.719999999,138877.34,23174039,2023/10/22 17:52:52+00,DAY,OTHERS,BURGLARY,800 - 899 BLOCK OF V STREET NW,397966.72,138877.34,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.9177624492,-77.0234458823,,2023/10/22 14:20:00+00,2023/10/22 16:47:00+00,699891420,
397833.780000001,137709.100000001,23174081,2023/10/22 16:44:47+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF N STREET NW,397833.78,137709.1,2,2G,3,307,Cluster 7,004902 2,004902,Precinct 129,38.9072382311,-77.0249751364,,2023/10/22 16:37:00+00,2023/10/22 16:39:00+00,699891421,
396522.700000003,137709.93,23174278,2023/10/23 01:58:36+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF N STREET NW,396522.7,137709.93,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.9072414989,-77.0400910561,,2023/10/19 04:05:00+00,2023/10/19 05:20:00+00,699891422,
394676.890000001,141152.210000001,23174356,2023/10/23 04:15:52+00,MIDNIGHT,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF RODMAN STREET NW,394676.89,141152.21,3,3C,2,203,Cluster 15,000600 1,000600,Precinct 27,38.9382414145,-77.0613987583,,2023/10/22 21:30:00+00,2023/10/24 01:00:00+00,699891423,
397424.079999998,140141.129999999,23174744,2023/10/23 22:52:03+00,EVENING,GUN,ROBBERY,3100 - 3199 BLOCK OF 13TH STREET NW,397424.08,140141.13,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9291456501,-77.029707841,,2023/10/23 20:56:00+00,,699891424,
393720.859999999,140689.0,23174940,2023/10/24 06:27:41+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3300 - 3399 BLOCK OF WISCONSIN AVENUE NW,393720.86,140689,3,3A,2,204,Cluster 14,001002 4,001002,Precinct 29,38.9340623694,-77.0724217259,,2023/10/21 00:00:00+00,2023/10/24 05:30:00+00,699891425,
394895.399999999,140924.899999999,23174989,2023/10/24 14:29:24+00,DAY,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2023/10/24 11:07:00+00,2023/10/24 11:07:00+00,699891426,
397236.689999998,139162.510000002,23175137,2023/10/24 18:37:50+00,DAY,OTHERS,THEFT/OTHER,2300 - 2398 BLOCK OF 14TH STREET NW,397236.69,139162.51,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9203293614,-77.0318650523,,2023/10/24 15:30:00+00,2023/10/24 15:40:00+00,699891427,
397243.780000001,140420.09,23175530,2023/10/25 12:39:01+00,DAY,GUN,ROBBERY,1330 - 1399 BLOCK OF MONROE STREET NW,397243.78,140420.09,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,38.9316580605,-77.0317883439,,2023/10/25 10:03:00+00,2023/10/25 10:05:00+00,699891428,
397700.460000001,136611.23,23175549,2023/10/25 13:11:24+00,DAY,OTHERS,THEFT F/AUTO,1000 - 1099 BLOCK OF F STREET NW,397700.46,136611.23,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8973478904,-77.0265085554,DOWNTOWN,2023/10/20 18:00:00+00,2023/10/25 09:00:00+00,699891429,
397162.43,141096.859999999,23175759,2023/10/25 19:54:10+00,EVENING,OTHERS,THEFT F/AUTO,3714 - 3813 BLOCK OF 14TH STREET NW,397162.43,141096.86,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,38.9377543489,-77.0327293772,,2023/10/25 18:07:00+00,2023/10/25 19:19:00+00,699891430,
399591.799999997,135247.120000001,23175814,2023/10/25 20:36:54+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF D STREET SE,399591.8,135247.12,6,6B,1,106,Cluster 26,006500 1,006500,Precinct 130,38.8850623922,-77.0047048231,CAPITOL HILL,2023/10/24 23:00:00+00,2023/10/25 06:00:00+00,699891431,
403561,140013,23029899,2023/02/24 14:32:09+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3400 - 3478 BLOCK OF SUMMIT COURT NE,403561,140013,5,5C,5,503,Cluster 24,009000 1,009000,Precinct 139,38.9279879753,-76.9589319909,,2023/02/24 13:34:00+00,2023/02/24 14:26:00+00,699891432,
397746,137450,23030947,2023/02/26 14:12:34+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 10TH STREET NW,397746,137450,2,2G,3,307,Cluster 8,004902 3,004902,Precinct 129,38.9049039473,-77.0259863335,,2023/02/26 13:10:00+00,2023/02/26 13:15:00+00,699891433,
394964.329999998,140772.690000001,23031002,2023/02/28 14:58:11+00,DAY,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964.33,140772.69,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9348242806,-77.0580805327,,2023/02/26 17:12:00+00,2023/02/26 17:26:00+00,699891434,
401924,141419,23031999,2023/02/28 15:19:10+00,DAY,OTHERS,THEFT F/AUTO,1900 - 1932 BLOCK OF BUNKER HILL ROAD NE,401924,141419,5,5B,5,503,Cluster 24,009400 4,009400,Precinct 69,38.940658756,-76.9778071074,,2023/02/28 01:00:00+00,2023/02/28 13:00:00+00,699891435,
404579,137347,23032095,2023/02/28 17:58:02+00,DAY,OTHERS,THEFT F/AUTO,3500 - 3899 BLOCK OF JAY STREET NE,404579,137347,7,7D,6,601,Cluster 30,009602 2,009602,Precinct 100,38.9039670503,-76.9472094663,,2023/02/28 16:15:00+00,2023/02/28 17:58:00+00,699891436,
397799,141494,23029003,2023/02/22 20:55:09+00,EVENING,OTHERS,THEFT/OTHER,4100  - 4199 BLOCK OF GEORGIA AVENUE NW,397799,141494,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.9413337274,-77.0253882636,,2023/02/22 20:29:00+00,2023/02/22 20:40:00+00,699891437,
400497,129046,23029758,2023/02/23 05:00:00+00,MIDNIGHT,GUN,HOMICIDE,760 - 823 BLOCK OF CHESAPEAKE STREET SE,400497,129046,8,8E,7,706,Cluster 39,009811 2,009811,Precinct 125,38.8292000237,-76.9942761691,,2023/02/24 03:48:00+00,,699891438,
399622,134352,23029868,2023/02/24 13:07:22+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622,134352,8,8F,1,106,Cluster 27,007203 1,007203,Precinct 131,38.8769988169,-77.0043562523,CAPITOL RIVERFRONT,2023/02/24 12:15:00+00,2023/02/24 12:45:00+00,699891439,
396456,137483,23030144,2023/02/24 22:28:46+00,EVENING,OTHERS,THEFT/OTHER,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,396456,137483,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9051969682,-77.0408588935,GOLDEN TRIANGLE,2023/02/24 22:04:00+00,2023/02/24 22:29:00+00,699891440,
397104,139097,23030489,2023/02/25 18:49:41+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF FLORIDA AVENUE NW,397104,139097,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9197387988,-77.0333948878,,2023/02/25 09:03:00+00,2023/02/25 11:18:00+00,699891441,
396455,139555,23030715,2023/02/26 02:05:01+00,EVENING,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455,139555,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238622318,-77.0408811202,ADAMS MORGAN,2023/02/26 00:15:00+00,2023/02/26 01:45:00+00,699891442,
404296,135044,23031228,2023/02/27 02:19:50+00,EVENING,OTHERS,THEFT F/AUTO,3700 - 3710 BLOCK OF ELY PLACE SE,404296,135044,7,7F,6,603,Cluster 32,007703 3,007703,Precinct 107,38.8832222089,-76.9504865266,,2023/02/26 04:30:00+00,2023/02/26 20:00:00+00,699891443,
407719,136261,23031738,2023/02/28 01:15:22+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,348 - 357 BLOCK OF EASTERN AVENUE NE,407719,136261,7,7C,6,608,Cluster 31,007808 2,007808,Precinct 96,38.8941620101,-76.9110211474,,2023/02/27 23:06:00+00,2023/02/28 00:24:00+00,699891444,
402357,134072,23032525,2023/03/01 19:03:36+00,DAY,OTHERS,THEFT/OTHER,2200 - 2305 BLOCK OF PENNSYLVANIA AVENUE SE,402357,134072,7,7B,6,607,Cluster 34,007601 1,007601,Precinct 111,38.8744733882,-76.9728377689,,2023/03/01 11:39:00+00,2023/03/01 12:20:00+00,699891445,
397589,142968,23032600,2023/03/02 18:37:56+00,DAY,OTHERS,THEFT/OTHER,5300  - 5399 BLOCK OF GEORGIA AVENUE NW,397589,142968,4,4D,4,403,Cluster 18,002101 4,002101,Precinct 56,38.9546113772,-77.0278157683,,2023/03/01 14:39:00+00,2023/03/01 15:05:00+00,699891446,
401302,135000,23033044,2023/03/02 03:17:49+00,EVENING,OTHERS,ROBBERY,1400 - 1429 BLOCK OF E STREET SE,401302,135000,6,6B,1,107,Cluster 26,006900 2,006900,Precinct 91,38.8828353711,-76.9849939036,,2023/03/02 01:24:00+00,2023/03/02 03:16:00+00,699891447,
401590,136811,23047017,2023/03/27 05:04:38+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,700 - 799 BLOCK OF 16TH STREET NE,401590,136811,7,7D,5,507,Cluster 25,007901 4,007901,Precinct 81,38.8991490604,-76.9816703919,,2023/03/27 03:37:00+00,2023/03/27 03:45:00+00,699891448,
406439,135397,23047494,2023/03/28 01:58:58+00,EVENING,OTHERS,THEFT/OTHER,119 - 199 BLOCK OF 53RD STREET SE,406439,135397,7,7E,6,604,Cluster 33,009905 1,009905,Precinct 105,38.8863890846,-76.9257841188,,2023/03/18 20:52:00+00,2023/03/18 20:55:00+00,699891449,
402835,139007,23047809,2023/03/28 15:57:06+00,DAY,OTHERS,THEFT/OTHER,2300 - 3099 BLOCK OF V STREET NE,402835,139007,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9189282484,-76.9673088982,,2023/02/28 14:30:00+00,2023/03/20 16:00:00+00,699891450,
398828,139232,23048344,2023/03/29 14:34:04+00,DAY,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF BRYANT STREET NW,398828,139232,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,38.9209589129,-77.0135150129,,2023/03/29 01:00:00+00,2023/03/29 10:30:00+00,699891451,
398449,138139,23048703,2023/03/30 01:38:31+00,EVENING,OTHERS,THEFT/OTHER,410 - 499 BLOCK OF Q STREET NW,398449,138139,2,2G,3,308,Cluster 7,004801 3,004801,Precinct 18,38.9111122188,-77.017883013,,2023/03/30 00:38:00+00,2023/03/30 00:42:00+00,699891452,
397564,138975,23049121,2023/03/31 01:13:35+00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2199 BLOCK OF 12TH STREET NW,397564,138975,1,1B,3,305,Cluster 3,004401 1,004401,Precinct 22,38.9186411785,-77.0280900187,,2023/03/30 19:17:00+00,2023/03/30 22:47:00+00,699891453,
401728,138813,23049804,2023/03/31 04:00:00+00,MIDNIGHT,KNIFE,HOMICIDE,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,401728,138813,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9171835065,-76.9800744828,,2023/03/31 22:45:00+00,2023/03/31 23:11:00+00,699891454,
398054,136595,23051317,2023/04/03 18:46:25+00,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF F STREET NW,398054,136595,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,38.8972025384,-77.0224329838,DOWNTOWN,2023/04/02 02:30:00+00,2023/04/02 05:00:00+00,699891455,
396459,138822,23051441,2023/04/03 21:07:16+00,EVENING,OTHERS,THEFT/OTHER,1731 - 1785 BLOCK OF FLORIDA AVENUE NW,396459,138822,1,1C,3,303,Cluster 1,003801 2,003801,Precinct 24,38.9172591466,-77.0408312112,ADAMS MORGAN,2023/04/03 20:15:00+00,2023/04/03 20:47:00+00,699891456,
405526,136720,23051613,2023/04/04 02:27:45+00,EVENING,OTHERS,ROBBERY,4600 - 4699 BLOCK OF GRANT STREET NE,405526,136720,7,7C,6,602,Cluster 30,007804 1,007804,Precinct 98,38.8983133686,-76.9362967074,,2023/04/04 00:36:00+00,2023/04/04 02:10:00+00,699891457,
396372,137666,23051888,2023/04/04 15:26:57+00,DAY,OTHERS,BURGLARY,1216 - 1299 BLOCK OF CONNECTICUT AVENUE NW,396372,137666,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.9068451532,-77.0418282989,GOLDEN TRIANGLE,2023/04/04 08:30:00+00,2023/04/04 09:40:00+00,699891458,
401257,135070,23053413,2023/04/07 01:34:19+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 14TH STREET SE,401257,135070,6,6B,1,107,Cluster 26,006900 2,006900,Precinct 91,38.8834660235,-76.9855124195,,2023/04/06 18:46:00+00,2023/04/06 20:39:00+00,699891459,
397162,140976,23054095,2023/04/08 03:53:58+00,MIDNIGHT,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF 14TH STREET NW,397162,140976,1,1D,4,408,Cluster 2,002801 2,002801,Precinct 41,38.9366656049,-77.032733837,,2023/04/07 21:33:00+00,2023/04/07 22:22:00+00,699891460,
401035,134835,23054265,2023/04/08 05:48:09+00,MIDNIGHT,OTHERS,THEFT/OTHER,1300 - 1318 BLOCK OF PENNSYLVANIA AVENUE SE,401035,134835,6,6B,1,106,Cluster 26,006900 2,006900,Precinct 91,38.8813493421,-76.9880714391,CAPITOL HILL,2023/04/08 03:49:00+00,2023/04/08 04:49:00+00,699891461,
396459,138822,23054590,2023/04/09 01:41:23+00,EVENING,OTHERS,THEFT/OTHER,1731 - 1785 BLOCK OF FLORIDA AVENUE NW,396459,138822,1,1C,3,303,Cluster 1,003801 2,003801,Precinct 24,38.9172591466,-77.0408312112,ADAMS MORGAN,2023/04/08 19:32:00+00,2023/04/08 20:47:00+00,699891462,
398099,136943,23037668,2023/03/10 16:58:38+00,DAY,OTHERS,BURGLARY,800 - 899 BLOCK OF 7TH STREET NW,398099,136943,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.9003375462,-77.0219151985,DOWNTOWN,2023/03/10 06:50:00+00,2023/03/10 07:26:00+00,699891595,
397612,144311,23037811,2023/03/10 20:09:52+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,6300  - 6399 BLOCK OF GEORGIA AVENUE NW,397612,144311,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9667095266,-77.0275550936,,2023/03/10 08:00:00+00,2023/03/17 07:10:00+00,699891596,
397174,140033,23037920,2023/03/11 05:20:14+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3000 - 3099 BLOCK OF 14TH STREET NW,397174,140033,1,1A,3,302,Cluster 2,003000 2,003000,Precinct 39,38.9281708128,-77.0325915444,,2023/03/10 23:12:00+00,2023/03/11 00:28:00+00,699891597,
399886,136928,23038042,2023/03/11 04:05:16+00,MIDNIGHT,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF H STREET NE,399886,136928,6,6C,1,104,Cluster 25,010602 3,010602,Precinct 83,38.9002044689,-77.0013142178,,2023/03/11 02:23:00+00,2023/03/11 03:54:00+00,699891598,
400930,136927,23038046,2023/03/11 05:16:19+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF H STREET NE,400930,136927,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,38.900194976,-76.9892787513,,2023/03/11 03:34:00+00,2023/03/11 05:05:00+00,699891599,
398476,136719,23038584,2023/03/12 03:44:57+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF G STREET NW,398476,136719,6,6E,1,101,Cluster 8,005900 2,005900,Precinct 143,38.8983204081,-77.0175685523,DOWNTOWN,2023/03/11 22:30:00+00,2023/03/12 03:08:00+00,699891600,
401310,137764,23038749,2023/03/12 13:55:29+00,DAY,OTHERS,SEX ABUSE,1200 - 1299 BLOCK OF MEIGS PLACE NE,401310,137764,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 78,38.9077344824,-76.9848964297,,2023/03/12 08:00:00+00,2023/03/12 09:00:00+00,699891601,
396124,137829,23038797,2023/03/12 18:50:32+00,DAY,OTHERS,THEFT F/AUTO,1307 - 1399 BLOCK OF NEW HAMPSHIRE AVENUE NW,396124,137829,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,38.9083124548,-77.0446884847,GOLDEN TRIANGLE,2023/03/11 20:00:00+00,2023/03/12 08:30:00+00,699891602,
400233,136927,23039005,2023/03/12 23:57:15+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NE,400233,136927,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.9001954371,-76.9973139237,,2023/03/12 23:44:00+00,2023/03/12 23:50:00+00,699891603,
405127,137046,23039495,2023/03/13 21:46:27+00,EVENING,OTHERS,THEFT/OTHER,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405127,137046,7,7C,6,602,Cluster 31,007809 2,007809,Precinct 94,38.9012525106,-76.9408939134,,2023/03/13 21:05:00+00,2023/03/13 21:42:00+00,699891604,
399819,128990,23039691,2023/03/14 09:35:06+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,4000 - 4399 BLOCK OF 3RD STREET SE,399819,128990,8,8D,7,708,Cluster 39,009811 1,009811,Precinct 125,38.8286956714,-77.0020845193,,2023/03/14 03:55:00+00,2023/03/14 05:49:00+00,699891605,
401745,135648,23039794,2023/03/14 14:22:44+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1700 - 1799 BLOCK OF A STREET SE,401745,135648,7,7D,1,107,Cluster 26,006801 1,006801,Precinct 87,38.8886720344,-76.9798864974,,2023/03/14 01:00:00+00,2023/03/14 11:00:00+00,699891606,
397107,139182,23040454,2023/03/15 17:20:48+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF BELMONT STREET NW,397107,139182,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9205045163,-77.0333606519,,2023/03/14 13:00:00+00,2023/03/14 18:00:00+00,699891607,
400807,132865,23040618,2023/03/15 23:16:47+00,EVENING,OTHERS,THEFT/OTHER,2228 - 2299 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400807,132865,8,8A,7,701,Cluster 28,007503 1,007503,Precinct 114,38.8636030295,-76.9907014927,ANACOSTIA,2023/03/15 19:57:00+00,2023/03/15 22:26:00+00,699891608,
404064.009999998,139635.98,23040722,2023/03/16 01:20:06+00,EVENING,OTHERS,THEFT/OTHER,3600 - 3799 BLOCK OF JAMISON STREET NE,404064.01,139635.98,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9245894783,-76.9531331516,,2023/03/15 01:14:00+00,2023/03/15 10:30:00+00,699891609,
393881,142978,23040843,2023/03/16 10:05:39+00,MIDNIGHT,OTHERS,THEFT F/AUTO,3610 - 3699 BLOCK OF FESSENDEN STREET NW,393881,142978,3,3F,2,203,Cluster 12,001100 4,001100,Precinct 33,38.9546834555,-77.0705951358,,2023/03/15 22:30:00+00,2023/03/16 00:30:00+00,699891610,
395251,137269,23040940,2023/03/16 14:54:52+00,DAY,OTHERS,THEFT F/AUTO,1000 - 1099 BLOCK OF 26TH STREET NW,395251,137269,2,2A,2,207,Cluster 5,005601 2,005601,Precinct 4,38.9032634969,-77.0547498958,,2023/03/12 19:20:00+00,2023/03/13 23:10:00+00,699891611,
396740,140161,23041519,2023/03/17 16:30:50+00,DAY,OTHERS,ROBBERY,3100 - 3145 BLOCK OF MOUNT PLEASANT STREET NW,396740,140161,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9293223735,-77.0375973643,,2023/03/17 14:19:00+00,2023/03/17 15:30:00+00,699891612,
398345,145359,23041578,2023/03/17 17:56:56+00,DAY,GUN,THEFT/OTHER,7000  - 7098 BLOCK OF SPRING PLACE NW,398345,145359,4,4B,4,401,Cluster 17,001702 1,001702,Precinct 63,38.9761518452,-77.0190995488,,2023/03/17 16:08:00+00,,699891613,
404084,139109,23041840,2023/03/18 01:35:36+00,EVENING,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF MARKET STREET NE,404084,139109,5,5C,5,503,Cluster 24,009000 3,009000,Precinct 139,38.9198421808,-76.9529057588,,2023/03/18 00:49:00+00,2023/03/18 01:15:00+00,699891614,
397769,144596,23041987,2023/03/18 07:47:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769,144596,4,4B,4,402,Cluster 17,001901 4,001901,Precinct 59,38.9692772885,-77.0257444006,,2023/03/18 06:11:00+00,2023/03/18 06:53:00+00,699891615,
396171,137945,23042017,2023/03/18 08:22:18+00,MIDNIGHT,OTHERS,THEFT/OTHER,1 - 7 BLOCK OF DUPONT CIRCLE NW,396171,137945,2,2B,2,208,Cluster 6,005502 3,005502,Precinct 14,38.9093576286,-77.0441472433,DUPONT CIRCLE,2023/03/18 06:50:00+00,2023/03/18 07:52:00+00,699891616,
400134,139597,23042093,2023/03/18 13:29:10+00,DAY,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF 6TH STREET NE,400134,139597,5,5F,5,502,Cluster 21,009204 1,009204,Precinct 74,38.9242477215,-76.9984546969,,2023/03/18 12:00:00+00,2023/03/18 12:03:00+00,699891617,
398015,139869,23042938,2023/03/20 01:52:41+00,EVENING,OTHERS,THEFT/OTHER,2820 - 2831 BLOCK OF GEORGIA AVENUE NW,398015,139869,1,1E,3,304,Cluster 2,003500 1,003500,Precinct 37,38.9266957518,-77.02289203,,2023/03/20 00:37:00+00,,699891618,
406145,137024,23042976,2023/03/20 02:53:52+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,5000 - 5099 BLOCK OF HUNT STREET NE,406145,137024,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,38.9010477998,-76.9291582073,,2023/03/20 01:18:00+00,,699891619,
397174,140033,23043930,2023/03/21 22:28:47+00,EVENING,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF 14TH STREET NW,397174,140033,1,1A,3,302,Cluster 2,002802 3,002802,Precinct 36,38.9281708128,-77.0325915444,,2023/03/21 20:30:00+00,2023/03/21 20:31:00+00,699891620,
398614,138431,23087888,2023/06/03 23:27:11+00,EVENING,OTHERS,THEFT/OTHER,301 - 398 BLOCK OF FLORIDA AVENUE NW,398614,138431,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9137429292,-77.0159811542,,2023/06/03 00:07:00+00,2023/06/03 00:53:00+00,699891636,
